Array Design Name	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Provider	 Agilent Technologies(cag_sales-na@agilent.com)
Comment[ArrayExpressAccession]	A-GEOD-14767
Comment[SecondaryAccession]	GPL14767
Comment[Description]	Array Manufacturer: Agilent Technologies, Catalogue number: G4470C, Distribution: commercial, Technology: in situ oligonucleotide, Human miRNA Microarray 3.0  Arrays of this design have barcodes that begin with 16021827 or 2521827.  Orientation: Features are numbered numbered Left-to-Right, Top-to-Bottom as scanned by an Agilent scanner (barcode on the left, DNA on the back surface, scanned through the glass), matching the FeatureNum output from Agilent's Feature Extraction software.  The ID column represents the Agilent Feature Extraction feature number.  Rows and columns are numbered as scanned by an Axon Scanner (barcode on the bottom, DNA on the front surface).  To match data scanned on an Axon scanner, use the RefNumber column contained in the Agilent-provided GAL file as the ID_REF column in sample submissions. <br>Reporter Name = Agilent feature number<br>Comment[CONTROL_TYPE] = Control type<br>Reporter Database Entry [mirbase] = miRBase LINK_PRE:http://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=<br>Comment[GENE_NAME] = Gene Name<br>Comment[ACCESSION_STRING] = Accession String<br>Reporter Database Entry [chromosome_coordinate] = Chromosomal Location<br>Comment[SPOT_ID] = Spot identifier
Comment[SubmittedName]	Agilent-021827 Human miRNA Microarray G4470C (Feature Number version)
Comment[Organism]	Homo sapiens
Comment[ArrayExpressReleaseDate]	2011-10-20
Printing Protocol	see manufacturer's web site at http://www.agilent.com/
Surface Type
Substrate Type
Term Source Name	chromosome_coordinate	mirbase
6098	hsa-miR-455-5p	chr9:116011555-116011571,chr9:116971734-116971750
6099	hsa-miR-452*	chrX:151128178-151128164
6100	hsa-miR-100	chr11:122022970-122022954
6101	hsa-miR-1290	chr1:19223635-19223619
6102	hsa-miR-1284	chr3:71591171-71591158
6103	hsa-miR-933	chr2:176032428-176032415
6104	hsa-miR-1912	chrX:113886071-113886085
6105	hsa-miR-487a	chr14:101518838-101518852
6106	hsa-miR-625	chr14:65937838-65937854
6107	hsa-miR-1268	chr15:22513250-22513239
6108	hsa-miR-936	chr10:105807882-105807869
6109	hsa-miR-491-3p	chr9:20716157-20716174
6110	hsa-miR-519c-3p	chr19:054189777-054189797,chr19:058881589-058881609
6111	hsa-miR-518d-3p	chr19:054238186-054238203,chr19:058929998-058930015
6112	hsa-miR-302b	chr4:113569709-113569691
6113	hsa-miR-130a*	chr11:57408699-57408712
6114	hsa-miR-340*	chr5:179442381-179442363
6115	hcmv-miR-UL36	HEHCMVCG:000049519-000049504
6116	hsa-miR-181c	chr19:13985544-13985560
6117		
6118	hsa-miR-144*	chr17:27188586-27188567
6119	hsa-miR-199b-5p	chr9:130046868-130046848,chr9:131007047-131007027
6120	hsa-miR-635	chr17:66420629-66420612
6121	kshv-miR-K12-9*	KSU75698:000119327-000119313
6122	hsa-miR-342-3p	chr14:100576060-100576074
6123	hsa-miR-485-3p	chr14:101521807-101521822
6124	hsa-miR-1208	chr8:129162380-129162392
6125	hsa-miR-552	chr1:35135280-35135262
6126	hsa-miR-301a	chr17:054583351-054583331,chr17:057228569-057228549
6127	hsa-miR-373*	chr19:54291975-54291985
6128	hsa-miR-19b-2*	chrX:133303740-133303720
6129	hsa-miR-645	chr20:49202387-49202401
6130	hsa-miR-1306	chr22:20073640-20073652
6131	hsa-miR-140-5p	chr16:068524508-068524528,chr16:069967007-069967027
6132	hsa-miR-1243	chr4:114028027-114028044
6133	hsa-miR-144	chr17:27188621-27188603
6134	hsa-miR-19b	chr13:092003503-092003521,chrX:133303784-133303766
6135	hsa-miR-193b*	chr16:14397848-14397858
6136	ebv-miR-BART14*	HHV507799:000148749-000148765,HHV507799:000148749-000148765
6137	hsa-miR-1181	chr19:10514167-10514157
6138	hsa-miR-1278	chr1:193105684-193105703
6139	hsa-miR-744	chr17:11985235-11985247
6140	hsa-miR-124*	chr8:065291737-065291751,chr8:009760932-009760918,chr20:061809873-061809887
6141	hsa-miR-222	chrX:45606509-45606499
6142	ebv-miR-BART15	HHV507799:000139554-000139574
6143	hsa-miR-1271	chr5:175794969-175794984
6144		
6145	hsa-miR-367*	chr4:113569056-113569038
6146	hsa-miR-1307	chr10:105154110-105154100
6147	hsa-miR-297	chr4:111781761-111781748
6148	hsa-miR-562	chr2:233037426-233037442
6149	hsa-miR-518f*	chr19:054203290-054203305,chr19:054214277-054214292,chr19:058906089-058906104
6150	hsa-miR-1306	chr22:20073641-20073652
6151	hsa-let-7g	chr3:52302319-52302301
6152	hsa-miR-665	chr14:101341419-101341431
6153	hsa-miR-1270	chr19:020510115-020510098,chr19:020579274-020579257
6154	hsa-miR-202*	chr10:135061063-135061045
6155	hsa-miR-766	chrX:118780786-118780772
6156	hsa-miR-19a	chr13:92003196-92003215
6157	ebv-miR-BART19-3p	HHV507799:000148258-000148274
6158	hsa-miR-548h	chr6:132113320-132113335,chr8:026906407-026906392,chr14:064561783-064561768,chr16:011400333-011400318,chr17:013446895-013446880
6159	hsa-miR-423-3p	chr17:28444159-28444171
6160	hsa-miR-218-2*	chr5:168195238-168195228
6161	hsa-miR-361-3p	chrX:85158707-85158690
6162		
6163	hsa-miR-302b	chr4:113569709-113569693
6164	hsa-let-7i	chr12:62997474-62997492
6165	hsa-miR-150	chr19:50004078-50004064
6166	hsa-miR-454*	chr17:054569945-054569924,chr17:057215163-057215142
6167	hsa-miR-1282	chr15:44085884-44085869
6168	hsa-miR-1201_v15.0	chr14:20794680-20794663
6169	hsa-miR-342-5p	chr14:100576013-100576030
6170	hsa-miR-657	chr17:79099158-79099146
6171	hsa-miR-1228*	chr12:57588298-57588307
6172	hsa-miR-15a	chr13:50623289-50623270
6173	hsa-miR-523	chr19:54201697-54201713
6174	hsa-miR-190b	chr1:154166171-154166153
6175	hsa-miR-596	chr8:1765424-1765432
6176	ebv-miR-BART4	HHV507799:000139235-000139249
6177	hsa-miR-609	chr10:105978581-105978565
6178	ebv-miR-BART13	HHV507799:000148572-000148585
6179	hsa-miR-876-3p	chr9:28863694-28863677
6180	kshv-miR-K12-6-5p	KSU75698:000120787-000120774
6181	hsa-miR-769-3p	chr19:46522269-46522280
6182	hsa-miR-425*	chr3:49057656-49057645
6183		
6184	hsa-miR-34c-3p	chr11:111384220-111384230
6185	hsa-miR-520b	chr19:54204525-54204541
6186	hsa-miR-891b	chrX:145082602-145082583
6187	hsa-miR-649	chr22:21388546-21388532
6188	hsa-miR-384	chrX:76139773-76139755
6189	hsa-miR-886-5p_v15.0	chr5:135416209-135416199
6190	hsa-miR-106a*	chrX:133304298-133304278
6191	hsa-miR-1912	chrX:113886070-113886085
6192	hsa-miR-890	chrX:145075823-145075809
6193	hsa-miR-508-3p	chrX:146126205-146126188,chrX:146318513-146318496
6194	hsa-miR-549	chr15:81134399-81134382
6195		
6196	hsa-miR-569	chr3:170824533-170824516
6197	ebv-miR-BART1-5p	HHV507799:000139360-000139374
6198	hsa-miR-625	chr14:65937838-65937854
6199	hsa-let-7a	chr9:096938247-096938265,chr11:122017255-122017237,chr22:046508635-046508653
6200	hsa-miR-208b	chr14:23887262-23887244
6201	hsa-miR-377	chr14:101528435-101528452
6202	hsa-miR-519e*	chr19:54183213-54183228
6203	hsa-miR-34b	chr11:111383719-111383733
6204	hsa-miR-487b	chr14:101512847-101512863
6205	kshv-miR-K12-11	KSU75698:000120642-000120630
6206	hcmv-miR-US25-2-3p	HEHCMVCG:000215532-000215522
6207	hsa-miR-202	chr10:135061097-135061084
6208	hsa-miR-1228	chr12:57588349-57588357
6209	hsa-miR-548n	chr7:34980402-34980383
6210	hsa-miR-517*	chr19:054215542-054215557,chr19:054224341-054224356,chr19:054244592-054244607
6211		
6212	hsa-miR-512-3p	chr19:054169987-054170004,chr19:054172471-054172488
6213	hsa-miR-877	chr6:30552120-30552128
6214	ebv-miR-BART3	HHV507799:000139130-000139145,HHV507799:000139130-000139145
6215	hsa-miR-873	chr9:28888907-28888892
6216	hsa-miR-181b	chr1:198828059-198828046,chr9:127456013-127456026
6217	hsa-miR-184	chr15:79502184-79502203
6218	hsa-miR-548g	chr4:148265855-148265836
6219	hsa-miR-654-3p	chr14:101506610-101506627
6220	hsa-miR-1539	chr18:47013780-47013792
6221	hsa-miR-1274a_v16.0	chr5:41475752-41475764
6222	hsa-miR-98	chrX:53583226-53583208
6223	hsa-miR-21*	chr17:57918680-57918692
6224	hsa-miR-518f*	chr19:054203290-054203305,chr19:054214277-054214292,chr19:058906089-058906104
6225		
6226	hsa-let-7g*	chr3:52302375-52302364
6227	hsa-miR-103b	chr5:167987915-167987931,chr5:167987915-167987931,chr20:003898171-003898155,chr20:003898171-003898155
6228	hsa-miR-124*	chr8:065291737-065291751,chr8:009760932-009760918,chr20:061809873-061809887
6229	hsa-miR-598	chr8:10892797-10892781
6230	hsa-miR-646	chr20:58883596-58883610
6231	hsa-miR-133a	chr18:019405732-019405716,chr20:061162182-061162198
6232	hsa-miR-1268	chr15:22513250-22513240
6233	hsa-miR-342-5p	chr14:100576013-100576030
6234	hsa-miR-34b*	chr11:110888886-110888907,chr11:111383676-111383697
6235	hsa-miR-518f	chr19:54203324-54203341
6236	hsa-miR-409-5p	chr14:101531657-101531673
6237	hsa-miR-150*	chr19:50004113-50004105
6238	hsa-miR-1265	chr10:14478595-14478609
6239	hsa-miR-494	chr14:101496027-101496039
6240	hsa-miR-196b	chr7:27209134-27209117
6241	hsa-miR-103a	chr5:167987970-167987954,chr5:167987970-167987954,chr20:003898194-003898210,chr20:003898194-003898210
6242	hsa-miR-519d	chr19:54216658-54216675
6243	hcmv-miR-UL36	HEHCMVCG:000049519-000049506
6244	hsa-miR-513c	chrX:146271256-146271241
6245	hsa-miR-214	chr1:172108029-172108018
6246	hsa-miR-508-3p	chrX:146126205-146126189,chrX:146318513-146318497
6247	hsa-miR-1275	chr6:33967782-33967771
6248	hsa-miR-198	chr3:120114541-120114527
6249	hsa-miR-520c-3p	chr19:54210763-54210781
6250	hsa-miR-567	chr3:111831671-111831685
6251	hsa-miR-515-3p	chr19:054182309-054182328,chr19:054188315-054188334
6252	hsa-miR-34a*	chr1:9211811-9211795
6253		
6254	hsa-miR-421	chrX:73438281-73438265
6255	hiv1-miR-TAR-3p	unmapped
6256	hsa-miR-138	chr3:044155736-044155748,chr16:056892449-056892461
6257	hsa-let-7i*	chr12:62997536-62997548
6258	hsa-miR-668	chr14:101521645-101521659
6259	hsa-miR-769-5p	chr19:46522223-46522240
6260	hsa-miR-326	chr11:75046214-75046201
6261	hsa-miR-183*	chr7:129414831-129414821
6262	hsa-miR-612	chr11:65211953-65211968
6263	hsa-miR-149*	chr2:241395484-241395493
6264	hsa-miR-548i	chr3:125509306-125509291,chr4:009557848-009557833,chr8:007946522-007946507,chrX:083480791-083480776
6265	hsa-miR-623	chr13:100008410-100008422
6266	hsa-miR-516b	chr19:054228714-054228732,chr19:054240117-054240135,chr19:058920526-058920544,chr19:058931929-058931947
6267	hsa-miR-22*	chr17:1617232-1617216
6268	hsa-miR-628-3p	chr15:55665218-55665208
6269	hsa-miR-598	chr8:10892797-10892781
6270	hsa-miR-602	chr9:140732896-140732908
6271	hsa-miR-302b	chr4:113569709-113569690
6272	hsa-miR-29b	chr1:207975861-207975842,chr7:130562290-130562271
6273	hsa-miR-605	chr10:53059356-53059370
6274	hsa-miR-490-3p	chr7:136238534-136238550,chr7:136587994-136588010
6275	ebv-miR-BART11-3p	HHV507799:000147582-000147595
6276	hsa-miR-642a	chr19:046178207-046178222,chr19:046178207-046178222
6277	hsa-miR-125b-1*	chr11:121970540-121970527
6278	hsa-miR-122	chr18:56118325-56118341
6279	hsa-miR-25	chr7:99691255-99691239
6280	hsa-miR-1914	chr20:62572851-62572840
6281	hsa-miR-636	chr17:74732614-74732603
6282	hsa-miR-181b	chr1:198828059-198828046,chr9:127456013-127456026
6283	hsa-miR-1207-5p	chr8:129061414-129061425
6284	hsa-miR-597	chr8:9599204-9599218
6285	hsa-miR-1909*	chr19:1816193-1816182
6286	hsa-miR-489	chr7:092951256-092951239,chr7:093113320-093113303
6287	ebv-miR-BART1-3p	HHV507799:000139392-000139408
6288	hsa-miR-96	chr7:129414562-129414543
6289	hsa-miR-1243	chr4:114028027-114028044
6290		
6291	hsa-miR-943	chr4:1988185-1988173
6292	hsa-miR-1179	chr15:89151357-89151372
6293	hcmv-miR-UL112	HEHCMVCG:000163237-000163250
6294	hsa-miR-370	chr14:101377532-101377544
6295	hsa-miR-380	chr14:100561146-100561167,chr14:101491393-101491414
6296	kshv-miR-K12-1	KSU75698:000121871-000121858
6297	hsa-miR-147	chr9:123007322-123007306
6298	hsa-miR-516b	chr19:054228715-054228732,chr19:054240118-054240135,chr19:058920527-058920544,chr19:058931930-058931947
6299	hsa-miR-603	chr10:24564679-24564695
6300	hsa-miR-129*	chr7:127847978-127847994
6301	kshv-miR-K12-12*	KSU75698:000117716-000117704,KSU75698:000117716-000117704,KSU75698:000117716-000117704
6302	ebv-miR-BART3*	HHV507799:000139093-000139107,HHV507799:000139093-000139107
6303	hsa-miR-28-5p	chr3:188406585-188406603,chr3:189889279-189889297
6304	hcmv-miR-US5-1	HEHCMVCG:000196109-000196122
6305	hsa-miR-23b*	chr9:97847515-97847530
6306	kshv-miR-K12-4-3p	KSU75698:000121478-000121464
6307	hsa-miR-19b	chr13:092003503-092003521,chrX:133303784-133303766
6308	hsa-miR-548b-5p	chr6:119390257-119390240
6309	kshv-miR-K12-10b	KSU75698:000118033-000118024
6310	hsa-miR-1915	chr10:21785556-21785547
6311	hcmv-miR-US25-2-3p	HEHCMVCG:000215532-000215523
6312	hsa-miR-181d	chr19:13985732-13985746
6313	hsa-miR-367*	chr4:113569056-113569039
6314	hsa-miR-1827	chr12:100583712-100583727
6315	hsa-miR-517c	chr19:054244626-054244644,chr19:054255706-054255724,chr19:054265654-054265672
6316	hsa-miR-1295	chr1:171070937-171070925
6317		
6318	hsa-miR-516a-5p	chr19:054260014-054260032,chr19:054264406-054264424
6319	hsa-miR-33b	chr17:17717184-17717168
6320		
6321	hsa-miR-767-3p	chrX:151561975-151561962
6322	hsa-miR-1184	chrX:154687245-154687260,chrX:154115717-154115702,chrX:154612831-154612816
6323	hsa-miR-519e*	chr19:54183214-54183228
6324	hsa-miR-520f	chr19:054185469-054185488,chr19:058902575-058902594
6325	hsa-miR-382	chr14:101520661-101520674
6326	hsa-miR-516a-3p	chr19:054228752-054228768,chr19:054240160-054240176,chr19:054260056-054260072,chr19:054264448-054264464,chr19:058920564-058920580,chr19:058931972-058931988,chr19:058951868-058951884,chr19:058956260-058956276
6327	hsa-miR-15b	chr3:160122399-160122416
6328	kshv-miR-K12-12*	KSU75698:000117716-000117705,KSU75698:000117716-000117705,KSU75698:000117716-000117705
6329	hsa-miR-371-5p	chr19:54290944-54290953
6330	hsa-miR-661	chr8:145019432-145019418
6331	hsa-miR-30c-2*	chr6:72086730-72086714
6332	hsa-miR-657	chr17:79099158-79099146
6333	hsa-miR-550a*	chr7:030296001-030296016,chr7:030329476-030329491,chr7:030329476-030329491,chr7:032739184-032739199,chr7:032772659-032772674,chr7:032772659-032772674,chr7:029720430-029720415
6334	hsa-miR-429	chr1:1104439-1104456
6335	hsa-miR-101	chr1:065524183-065524164,chr9:004850346-004850365
6336	hsa-miR-944	chr3:189547767-189547785
6337	hsa-miR-130b*	chr22:22007611-22007625
6338	hsa-miR-30e	chr1:41220049-41220064
6339	hsa-miR-1247	chr14:102026684-102026672
6340	hsa-miR-214	chr1:172108029-172108019
6341	hsa-miR-320b	chr1:117214417-117214430,chr1:224444798-224444785
6342	hsa-miR-124	chr8:065291772-065291786,chr8:009760969-009760955,chr20:061809909-061809923
6343	hsa-miR-1265	chr10:14478595-14478609
6344	hsa-miR-551b*	chr3:168269676-168269684
6345	hsa-miR-659	chr22:38243766-38243754
6346	hsa-miR-1274a_v16.0	chr5:41475753-41475764
6347	hsa-miR-574-5p	chr4:38869684-38869699
6348	hsa-miR-1229	chr5:179225346-179225338
6349	hsa-miR-651	chrX:8095028-8095042
6350	hsa-miR-532-5p	chrX:049654519-049654534,chrX:049767779-049767794
6351	hsa-miR-34a*	chr1:9211811-9211796
6352	hsa-miR-1323	chr19:54175239-54175253
6353	hsa-miR-199a-5p	chr1:170380350-170380332,chr1:172113727-172113709,chr19:010789129-010789111,chr19:010928129-010928111
6354	hsa-miR-507	chrX:146312577-146312560
6355	hsa-miR-132*	chr17:1953245-1953228
6356	jcv-miR-J1-5p	unmapped
6357	hsa-miR-571	chr4:344011-344026
6358	hsa-miR-548k	chr11:70130098-70130113
6359	hsa-miR-95	chr4:8007097-8007079
6360	hsa-miR-144*	chr17:27188586-27188566
6361	hcmv-miR-UL112	HEHCMVCG:000163235-000163250
6362	hsa-miR-497	chr17:6921273-6921257
6363	hsa-miR-592	chr7:126698178-126698160
6364	hsa-miR-520b	chr19:54204524-54204541
6365	hsa-miR-939	chr8:145619401-145619390
6366	hsa-miR-218-1*	chr4:20529973-20529986
6367	hsa-miR-181a	chr1:198828218-198828204,chr9:127454767-127454781
6368	hsa-miR-513a-3p	chrX:146295074-146295058,chrX:146307436-146307420
6369	hsa-miR-1265	chr10:14478594-14478609
6370	hsa-miR-20b*	chrX:133303903-133303893
6371	hsa-miR-374a	chrX:073423878-073423857,chrX:073507153-073507132
6372	hsa-let-7b	chr22:46509575-46509592
6373	hsa-miR-27b*	chr9:97847754-97847766
6374	hsa-miR-489	chr7:092951256-092951239,chr7:093113320-093113303
6375	hsa-miR-596	chr8:1765424-1765432
6376	hsa-miR-550a*	chr7:030296000-030296016,chr7:030329475-030329491,chr7:030329475-030329491,chr7:032739183-032739199,chr7:032772658-032772674,chr7:032772658-032772674,chr7:029720430-029720414
6377	hsa-miR-193b	chr16:14397882-14397895
6378	hsa-miR-195*	chr17:6921007-6920994
6379	hsa-miR-93	chr7:099529359-099529345,chr7:099691423-099691409
6380	hsa-miR-532-5p	chrX:049654518-049654534,chrX:049767778-049767794
6381	hsa-miR-24-1*	chr9:096888131-096888151,chr9:097848310-097848330
6382	hsa-miR-199b-5p	chr9:130046868-130046847,chr9:131007047-131007026
6383	hsa-miR-139-3p	chr11:72326171-72326158
6384	kshv-miR-K12-8_v14.0	KSU75698:000120010-000119996
6385	hsa-miR-192*	chr11:64658696-64658680
6386	hsa-miR-100	chr11:122022970-122022954
6387	hsa-miR-498	chr19:54177492-54177506
6388	hsa-miR-568	chr3:114035356-114035338
6389	hsa-miR-483-5p	chr11:2155392-2155380
6390	hsa-miR-599	chr8:100548943-100548926
6391	hsa-miR-493	chr14:101335463-101335474
6392	hsa-miR-30c-2*	chr6:72086730-72086714
6393	hsa-miR-302a	chr4:113569404-113569387
6394	hsa-miR-503	chrX:133680385-133680369
6395	hsa-miR-361-5p	chrX:085045323-085045308,chrX:085158667-085158652
6396	hsa-miR-874	chr5:136983328-136983318
6397	hsa-miR-720	chr3:164059161-164059171
6398	hsa-miR-675*	chr11:2018052-2018041
6399	hcmv-miR-UL70-3p	HEHCMVCG:000103140-000103150
6400	hsa-miR-553	chr1:100746817-100746832
6401	hsa-miR-1206	chr8:129021149-129021167
6402	hsa-miR-302f	chr18:27878905-27878918
6403	ebv-miR-BART14	HHV507799:000148782-000148799,HHV507799:000148782-000148799
6404	kshv-miR-K12-2	KSU75698:000121709-000121697
6405	hsa-miR-525-5p	chr19:054200805-054200821,chr19:058892617-058892633
6406	hsa-miR-939	chr8:145619401-145619391
6407	ebv-miR-BART11-3p	HHV507799:000147584-000147595
6408	hsa-miR-1264	chrX:113887176-113887193
6409	kshv-miR-K12-4-5p	KSU75698:000121440-000121424
6410	hsa-miR-204	chr9:73424944-73424927
6411	hsa-miR-1238	chr19:10662869-10662878
6412	hsa-let-7c*_v16.0	chr21:17912188-17912201
6413	hsa-miR-1269	chr4:67142617-67142629
6414	hsa-miR-656	chr14:101533105-101533123
6415	hsa-miR-181a-2*	chr9:127454804-127454818
6416	hsa-miR-520b	chr19:54204524-54204541
6417	hsa-miR-1911*	chrX:113997799-113997811
6418	hsa-miR-346	chr10:88024492-88024479
6419	hsa-miR-377	chr14:101528435-101528452
6420	hsa-miR-302d*	chr4:113569186-113569176
6421	hsa-miR-18b	chrX:133304098-133304082
6422	hsa-miR-548p	chr5:100152253-100152235
6423	hsa-miR-329	chr14:101493174-101493192,chr14:101493491-101493509
6424	hsa-miR-520b	chr19:54204525-54204541
6425	hsa-miR-339-3p	chr7:1062640-1062628
6426	hsa-miR-922	chr3:197401445-197401432
6427	hsa-miR-28-5p	chr3:188406585-188406603,chr3:189889279-189889297
6428	hsa-miR-532-3p	chrX:49767819-49767831
6429	hsa-miR-1826_v15.0	chr16:33965519-33965534
6430	hsa-miR-373	chr19:54292008-54292024
6431	hsa-miR-199a-5p	chr1:170380350-170380332,chr1:172113727-172113709,chr19:010789129-010789111,chr19:010928129-010928111
6432	hsa-miR-518c	chr19:54212053-54212072
6433	hsa-miR-26a-1*	chr3:38010945-38010964
6434	hsa-miR-377	chr14:101528435-101528452
6435	hsa-miR-146b-3p	chr10:104196323-104196334
6436		
6437	hsa-miR-200c*	chr12:7072873-7072887
6438	hsa-miR-422a	chr15:64163159-64163148
6439	hsa-miR-1297	chr13:54886174-54886160
6440	hsa-miR-29c	chr1:207975271-207975251
6441	hsa-miR-149	chr2:241395439-241395454
6442	hsa-miR-664*	chr1:220373913-220373896
6443	hsa-miR-1286	chr22:20236723-20236709
6444	hsa-miR-1224-5p	chr3:183959203-183959211
6445	hsa-miR-1228*	chr12:57588299-57588307
6446	hsa-miR-125a-5p	chr19:52196527-52196544
6447	hsa-miR-302b*	chr4:113569672-113569654
6448	hsa-miR-621	chr13:41384969-41384982
6449	hsa-miR-639	chr19:14640424-14640437
6450	bkv-miR-B1-5p	unmapped
6451	hsa-miR-923_v12.0	chr17:30502317-30502302
6452	hsa-miR-657	chr17:79099158-79099147
6453	hsa-miR-892a	chrX:145078251-145078236
6454	hsa-miR-489	chr7:092951256-092951239,chr7:093113320-093113303
6455	hsv1-miR-H3_v14.0	unmapped
6456	hcmv-miR-UL148D	unmapped
6457	hsa-miR-141	chr12:7073324-7073339
6458	hsa-miR-147	chr9:123007322-123007306
6459	hsa-miR-1288	chr17:16185379-16185392
6460	hsa-miR-155	chr21:26946302-26946317
6461	hsa-miR-105	chrX:151560725-151560710,chrX:151562918-151562903
6462	hsv1-miR-H4	unmapped
6463	hsa-miR-26a-2*	chr12:58218464-58218445
6464	ebv-miR-BART12	HHV507799:000147941-000147957
6465	hsa-miR-199b-5p	chr9:130046868-130046848,chr9:131007047-131007027
6466	hsa-miR-654-5p	chr14:100576329-100576345,chr14:101506576-101506592
6467	hsa-miR-1296	chr10:65132753-65132741
6468	hsa-miR-33b*	chr17:17717224-17717213
6469	hsa-miR-380	chr14:100561146-100561167,chr14:101491393-101491414
6470	hsa-miR-616*	chr12:056199249-056199235,chr12:057912982-057912968
6471	hsa-miR-1238	chr19:10662867-10662878
6472	hsa-miR-517a	chr19:54215579-54215596
6473	hsa-miR-507	chrX:146312577-146312561
6474	hsa-miR-454	chr17:57215204-57215185
6475	hsa-miR-1178	chr12:120151514-120151499
6476	hsv1-miR-H2*	unmapped
6477	hsa-miR-744*	chr17:11985290-11985304
6478	hsa-miR-325	chrX:76225866-76225851
6479	hsa-miR-1285	chr2:070480122-070480106,chr7:091833400-091833384
6480	hsa-miR-367*	chr4:113569056-113569038
6481	hsa-miR-382	chr14:101520660-101520674
6482	hsa-miR-7-2*	chr15:89155132-89155148
6483	hsa-miR-126	chr9:139565111-139565126
6484	hsa-miR-518c*	chr19:054209526-054209541,chr19:054210728-054210743,chr19:054212019-054212034,chr19:054230188-054230203,chr19:054238152-054238167
6485	hsa-miR-425*	chr3:49057656-49057646
6486	kshv-miR-K12-1	KSU75698:000121871-000121856
6487	hsa-miR-1271	chr5:175794969-175794984
6488	hsa-miR-29a*	chr7:130561530-130561511
6489	hsa-miR-220b_v15.0	chr19:6495972-6495989
6490	hsa-miR-148b	chr12:54731066-54731083
6491	hsa-miR-17*	chr13:92002916-92002930
6492	hsa-miR-125b-1*	chr11:121970540-121970529
6493	hsa-miR-1208	chr8:129162379-129162392
6494	hsa-miR-888*	chrX:145076368-145076353
6495	hsa-miR-340	chr5:179442339-179442323
6496	hsa-miR-888	chrX:145076332-145076315
6497	hsa-let-7d*	chr9:96941185-96941198
6498	hsa-miR-525-3p	chr19:54200843-54200859
6499	hsa-miR-628-5p	chr15:55665181-55665165
6500	hsa-miR-548p	chr5:100152253-100152235
6501	hsa-miR-19b	chr13:092003503-092003521,chrX:133303784-133303766
6502	hsa-miR-127-5p	chr14:101349346-101349359
6503	ebv-miR-BHRF1-3	HHV507799:000042975-000042989
6504	hsa-miR-577	chr4:115577932-115577950
6505	hsa-miR-16-1*	chr13:50623185-50623174
6506	hsa-miR-1293	chr12:50627955-50627940
6507	hsa-miR-374a*	chrX:73507183-73507163
6508	hsa-miR-181a*	chr1:198828257-198828241
6509		
6510	hsa-miR-629*	chr15:068158846-068158833,chr15:070371792-070371779
6511	hsa-miR-1263	chr3:163889292-163889279
6512	hsa-miR-1206	chr8:129021150-129021167
6513	hsa-miR-25*	chr7:99691216-99691201
6514	ebv-miR-BART15	HHV507799:000139554-000139574
6515	ebv-miR-BART20-3p	HHV507799:000148382-000148395
6516	hsa-miR-518f	chr19:54203324-54203341
6517	hsa-miR-335*	chr7:130136006-130136024
6518	hsv1-miR-H6-3p	unmapped
6519	hsa-miR-30b	chr8:135812800-135812785
6520	hsa-miR-1262	chr1:68649235-68649217
6521		
6522	hsa-miR-1207-3p	chr8:129061453-129061466
6523	hsa-miR-1224-3p	chr3:183959264-183959277
6524	hsa-miR-449a	chr5:054466396-054466377,chr5:054502153-054502134
6525	hsa-miR-92b	chr1:155165041-155165049
6526	hsa-miR-106a*	chrX:133304298-133304279
6527	hsa-miR-149	chr2:241395439-241395454
6528	hsa-miR-939	chr8:145619401-145619390
6529	hsa-miR-517c	chr19:054244626-054244644,chr19:054255706-054255724,chr19:054265654-054265672
6530	hsa-miR-23a	chr19:13947465-13947450
6531		
6532	hsa-miR-185	chr22:20020683-20020697
6533	hsa-miR-589*	chr7:005502059-005502047,chr7:005535533-005535521
6534	hsa-miR-431*	chr14:101347413-101347427
6535		
6536	hsa-miR-615-3p	chr12:54427802-54427815
6537	hsa-miR-320b	chr1:117214416-117214430,chr1:224444798-224444784
6538	hsa-miR-1323	chr19:54175239-54175253
6539	hsa-miR-22	chr17:1617270-1617253
6540	hsa-miR-101*	chr1:65524148-65524132
6541	hsa-miR-645	chr20:49202386-49202401
6542	hsa-miR-573	chr4:24521853-24521837
6543	hsa-let-7d	chr9:96941128-96941144
6544	hsa-miR-25*	chr7:99691216-99691202
6545	hsa-let-7b*	chr22:46509635-46509646
6546	hsa-let-7a*	chr9:096938297-096938315,chr22:046508682-046508700
6547	hsa-miR-1243	chr4:114028026-114028044
6548	hsa-miR-432	chr14:101350840-101350855
6549	hsa-miR-188-5p	chrX:49768133-49768143
6550	hsa-miR-1225-5p	chr16:2140217-2140209
6551	hsa-miR-1256	chr1:21314862-21314845
6552	hsa-miR-383	chr8:14710974-14710960
6553	hsa-miR-124*	chr8:065291735-065291751,chr8:009760932-009760916,chr20:061809871-061809887
6554	hsa-miR-532-5p	chrX:049654518-049654534,chrX:049767778-049767794
6555		
6556	hsa-miR-627	chr15:42491804-42491787
6557	hsa-miR-139-5p	chr11:72326134-72326120
6558	hsa-miR-520d-3p	chr19:54223408-54223424
6559	hsa-miR-520a-5p	chr19:054194151-054194169,chr19:058885963-058885981
6560	hcmv-miR-UL70-5p	HEHCMVCG:000103097-000103110
6561	hcmv-miR-US4	HEHCMVCG:000195165-000195177
